condition,id_fake_pct,method,id_acc,auroc_ood,fpr95_ood
id00,0,energy,0.9977728285077951,0.9949102777610572,0.0077951002227171495
id00,0,mahalanobis,0.9977728285077951,0.9895533989817583,0.008908685968819599
id00,0,msp,0.9977728285077951,0.9745801852334889,0.01670378619153675
id10,10,energy,0.9966592427616926,0.9910615886859391,0.011135857461024499
id10,10,mahalanobis,0.9966592427616926,0.9895842390274462,0.012249443207126948
id10,10,msp,0.9966592427616926,0.9716934826437424,0.02338530066815145
id25,25,energy,0.9955456570155902,0.9923267736927722,0.005567928730512249
id25,25,mahalanobis,0.9955456570155902,0.9891677126272523,0.012249443207126948
id25,25,msp,0.9955456570155902,0.9723063821059367,0.02338530066815145
id50,50,energy,0.9955456570155902,0.9910928002984425,0.01002227171492205
id50,50,mahalanobis,0.9955456570155902,0.9904763709515009,0.015590200445434299
id50,50,msp,0.9955456570155902,0.9709070614787022,1.0
id75,75,energy,0.9955456570155902,0.9879983918588224,0.014476614699331848
id75,75,mahalanobis,0.9955456570155902,0.9881447891841358,0.01893095768374165
id75,75,msp,0.9955456570155902,0.9590360590731786,1.0
id100,100,energy,0.9755011135857461,0.9710018110166588,0.08351893095768374
id100,100,mahalanobis,0.9755011135857461,0.9849768105150436,0.0334075723830735
id100,100,msp,0.9755011135857461,0.882229854204613,1.0
